case_id,ai_root_cause,ai_confidence,correct_root_cause,checker_flags_raised,review_status,reviewer_notes,reviewer
C11,NAT access-list does not include the VLAN 90 subnet,high,NAT access-list does not include the VLAN 90 subnet,False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C12,"ACL rule ordering error: permit-any placed before deny-internal, so deny never matches (implicit/explicit misconfig)",high,"ACL rule ordering error: permit-any placed before deny-internal, so deny never matches (implicit/explicit misconfig)",False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C13,ACL 101 is correctly blocking unauthorized access to the finance server as designed.,high,Overly broad ACL entry blocks legitimate traffic from an unintended source subnet,True,Edited,AI concluded the ACL was 'working as intended' and needed no action. It missed that the rule was overly broad and silently blocking a legitimate subnet too. Corrected root cause: Overly broad ACL entry blocks legitimate traffic from an unintended source subnet,"Solo student reviewer (self-review, as required when working individually)"
C14,VLAN 100 (wireless) not permitted on the trunk link toward the AP's switch,high,VLAN 100 (wireless) not permitted on the trunk link toward the AP's switch,True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C15,"RADIUS server interface/link is down, authentication requests never reach the server",high,"RADIUS server interface/link is down, authentication requests never reach the server",False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C16,"Physical interface down - cable/port issue, not a Layer 3 problem",high,"Physical interface down - cable/port issue, not a Layer 3 problem",True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C17,A switching loop is causing MAC address instability between Fa0/3 and Fa0/9.,medium,Duplicate IP address (10.20.20.15) assigned to two different hosts causing MAC/ARP instability,True,Edited,"AI guessed a switching loop from MAC flapping. Actual cause was a duplicate static IP on two hosts, confirmed by the ARP/ping conflict pattern. Corrected root cause: Duplicate IP address (10.20.20.15) assigned to two different hosts causing MAC/ARP instability","Solo student reviewer (self-review, as required when working individually)"
C18,IP addressing mismatch: routers are not on the same subnet despite link being physically up,high,IP addressing mismatch: routers are not on the same subnet despite link being physically up,False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C19,"A network loop has formed after adding SW7, causing an outage on VLAN 10.",medium,"Root bridge election chose a suboptimal (low-end) switch, causing inefficient traffic paths; priority not set on core switch",False,Rejected,"AI escalated a low-severity STP suboptimal-root-bridge situation into 'a loop causing an outage' and recommended shutting a link immediately, which was unnecessary and risky. Corrected root cause: Root bridge election chose a suboptimal (low-end) switch, causing inefficient traffic paths; priority not set on core switch","Solo student reviewer (self-review, as required when working individually)"
C20,Configuration was never saved (write memory not run); sub-interface config lost on reload,high,Configuration was never saved (write memory not run); sub-interface config lost on reload,False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C21,DNS server missing external forwarder configuration for non-local domains,high,DNS server missing external forwarder configuration for non-local domains,True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C22,Internal server 10.1.1.20 is down or not responding to requests.,low,"NAT ACL too broad, translating internal-to-internal traffic that should bypass NAT",True,Edited,"AI suspected the server was down. NAT translation evidence actually showed internal-to-internal traffic being incorrectly NAT'd — a config issue, not a server outage. Corrected root cause: NAT ACL too broad, translating internal-to-internal traffic that should bypass NAT","Solo student reviewer (self-review, as required when working individually)"
C23,No router sub-interface exists for VLAN 110 - inter-VLAN routing not possible until it is created,high,No router sub-interface exists for VLAN 110 - inter-VLAN routing not possible until it is created,True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C24,ACL missing explicit permit for the admin management subnet before implicit/explicit deny,high,ACL missing explicit permit for the admin management subnet before implicit/explicit deny,False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C25,"Static printer IP not excluded from DHCP scope, causing DHCP to lease the same address to another device",high,"Static printer IP not excluded from DHCP scope, causing DHCP to lease the same address to another device",False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C26,Missing static or dynamic route on R2 toward the destination network,high,Missing static or dynamic route on R2 toward the destination network,True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C27,Guest SSID incorrectly mapped to the corporate VLAN instead of the isolated guest VLAN,high,Guest SSID incorrectly mapped to the corporate VLAN instead of the isolated guest VLAN,False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C28,Native VLAN mismatch across trunk link causes CDP warnings and potential VLAN leakage,high,Native VLAN mismatch across trunk link causes CDP warnings and potential VLAN leakage,True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C29,Host-based firewall on the server itself is blocking traffic from remote subnets - not a network device issue,high,Host-based firewall on the server itself is blocking traffic from remote subnets - not a network device issue,False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C30,"Port security violation: new NIC MAC address exceeded max-MAC limit, shutting the port down",high,"Port security violation: new NIC MAC address exceeded max-MAC limit, shutting the port down",True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
